LISTED_STOCKS,COMPANY,SECTOR,SUBSECTOR,YEAR,DATE,FS_YEAR,ASSETS,LIABILITIES,EQUITY,SALES,EBT,PROFIT_FOR_THE_PERIOD,PROFIT_ATTR_TO_OWNERS_ENTITY,EPS,BOOK_VALUE,PER,PBV,DER,ROA,ROE,NPM,Category
BEEF,Estika Tata Tiara Tbk. [S],AGRICULTURE,ANIMAL HUSBANDRY,Year 2019,Sep-19,Dec,886000000000.0,493000000000.0,392000000000,903000000000.0,63000000000.0,46000000000.0,46000000000.0,32.7,208.0,6.18,0.97,1.26,6.95,15.7,6.82,Not Overvalued
BISI,Bisi International Tbk. [S],AGRICULTURE,CROPS,Year 2019,Dec-19,Dec,2941000000000.0,624000000000.0,2317000000000,2272000000000.0,405000000000.0,307000000000.0,307000000000.0,102.3,772.0,8.9,1.18,0.27,10.4,13.2,13.5,Not Overvalued
DSFI,Dharma Samudera Fishing Industries Tbk. [S],AGRICULTURE,FISHERY,Year 2019,Sep-19,Dec,374000000000.0,186000000000.0,188000000000,377000000000.0,8130000000.000001,6220000000.0,6220000000.0,4.46,101.0,17.0,0.77,0.99,2.22,4.4,2.2,Not Overvalued
AALI,Astra Agro Lestari Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,26974000000000.0,7996000000000.0,18979000000000,17453000000000.0,661000000000.0,244000000000.0,211000000000.0,109.7,9861.0,56.0,0.62,0.42,0.78,1.11,1.21,Not Overvalued
ANDI,Andira Agro Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,487000000000.0,228000000000.0,259000000000,312000000000.0,17000000000.0,12000000000.0,12000000000.0,1.34,28.0,37.0,1.8,0.88,2.56,4.82,4.01,Not Overvalued
ANJT,Austindo Nusantara Jaya Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,8725000000000.0,3305000000000.0,5421000000000,1818000000000.0,104000000000.0,-64000000000.0,-59000000000.0,-17.4,1616.0,-29.0,0.31,0.61,-0.671,-1.08,-3.22,Not Overvalued
BWPT,Eagle High Plantations Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,15796000000000.0,11183000000000.0,4613000000000,2513000000000.0,-1444000000000.0,-1167000000000.0,-1137000000000.0,-36.1,146.0,-2.22,0.55,2.42,-7.2,-24.7,-45.3,Not Overvalued
CSRA,Cisadane Sawit Raya Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Jun-19,Dec,1345000000000.0,907000000000.0,438000000000,223000000000.0,8630000000.0,4430000000.0,4430000000.0,4.32,214.0,63.0,1.27,2.07,0.66,2.02,3.96,Overvalued
DSNG,Dharma Satya Nusantara Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,11621000000000.0,7889000000000.0,3732000000000,5737000000000.0,280000000000.0,178000000000.0,180000000000.0,17.0,352.0,19.0,0.93,2.11,1.55,4.82,3.14,Not Overvalued
GOLL,Golden Plantation Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-18,Dec,2596000000000.0,1785000000000.0,811000000000,98000000000.0,-155000000000.0,-131000000000.0,-101000000000.0,-27.5,221.0,-1.82,0.23,2.2,-3.89,-12.4,-102.5,Not Overvalued
GZCO,Gozco Plantations Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Sep-19,Dec,1595000000000.0,1047000000000.0,548000000000,229000000000.0,-416000000000.0,-403000000000.0,-400000000000.0,-88.9,91.0,-0.562,0.55,1.91,-33.4,-97.3,-233.0,Not Overvalued
JAWA,Jaya Agra Wattie Tbk.,AGRICULTURE,PLANTATION,Year 2019,Sep-19,Dec,3517000000000.0,3059000000000.0,458000000000,556000000000.0,-220000000000.0,-216000000000.0,-214000000000.0,-75.7,121.0,-0.859,0.54,6.67,-8.12,-62.3,-51.4,Not Overvalued
LSIP,PP London Sumatra Indonesia Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,10225000000000.0,1727000000000.0,8499000000000,3699000000000.0,353000000000.0,253000000000.0,254000000000.0,37.2,1246.0,19.0,0.57,0.2,2.48,2.99,6.86,Not Overvalued
MAGP,Multi Agro Gemilang Plantation Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Sep-19,Dec,1322000000000.0,859000000000.0,463000000000,122000000000.0,-47000000000.0,-47000000000.0,-47000000000.0,-6.92,51.0,-7.23,0.97,1.85,-4.71,-13.4,-50.9,Not Overvalued
MGRO,Mahkota Group Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,1360000000000.0,659000000000.0,701000000000,1954000000000.0,33000000000.0,26000000000.0,4540000000.0,1.28,197.0,537.0,3.47,0.94,0.33,0.65,0.23,Overvalued
PALM,Provident Agro Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,2330000000000.0,263000000000.0,2067000000000,189000000000.0,-72000000000.0,-71000000000.0,-71000000000.0,-9.93,290.0,-19.0,0.64,0.13,-3.03,-3.42,-37.4,Not Overvalued
PSGO,Palma Serasih Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,3256000000000.0,2078000000000.0,1177000000000,729000000000.0,-176000000000.0,-161000000000.0,-161000000000.0,-8.54,62.0,-13.0,1.73,1.77,-4.94,-13.7,-22.1,Not Overvalued
SGRO,Sampoerna Agro Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,9467000000000.0,5314000000000.0,4153000000000,3268000000000.0,174000000000.0,40000000000.0,33000000000.0,17.5,2197.0,142.0,1.13,1.28,0.35,0.8,1.01,Overvalued
SIMP,Salim Ivomas Pratama Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,34911000000000.0,17130000000000.0,17781000000000,13650000000000.0,-197000000000.0,-642000000000.0,-546000000000.0,-34.5,1124.0,-6.2,0.19,0.96,-1.56,-3.07,-4.0,Not Overvalued
SMAR,SMART Tbk. [S],AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,27788000000000.0,16854000000000.0,10933000000000,36198000000000.0,1166000000000.0,899000000000.0,899000000000.0,312.9,3807.0,9.36,0.77,1.54,3.23,8.22,2.48,Not Overvalued
SSMS,Sawit Sumbermas Sarana Tbk.,AGRICULTURE,PLANTATION,Year 2019,Dec-19,Dec,11845000000000.0,7777000000000.0,4069000000000,3278000000000.0,155000000000.0,12000000000.0,12000000000.0,1.23,427.0,730.0,2.1,1.91,0.1,0.29,0.36,Overvalued
INCF,Indo Komoditi Korpora Tbk.,BASIC INDUSTRY AND CHEMICALS, OTHERS,Year 2019,Sep-19,Dec,547000000000.0,393000000000.0,154000000000,420000000000.0,6010000000.0,4030000000.0000005,3970000000.0,3.68,107.0,14.0,0.47,2.56,0.97,3.45,1.26,Not Overvalued
INOV,Inocycle Technology Group Tbk.,BASIC INDUSTRY AND CHEMICALS, OTHERS,Year 2019,Sep-19,Dec,712000000000.0,379000000000.0,333000000000,380000000000.0,31000000000.0,24000000000.0,24000000000.0,18.0,184.0,18.0,1.74,1.14,4.57,9.78,8.58,Not Overvalued
KMTR,Kirana Megatara Tbk.,BASIC INDUSTRY AND CHEMICALS, OTHERS,Year 2019,Dec-19,Dec,4085000000000.0,2262000000000.0,1823000000000,9670000000000.0,42000000000.0,15000000000.0,16000000000.0,2.01,222.0,135.0,1.22,1.24,0.4,0.9,0.17,Overvalued
CPIN,Charoen Pokphand Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2019,Dec-19,Dec,29353000000000.0,8281000000000.0,21072000000000,58635000000000.0,4595000000000.0,3615000000000.0,3635000000000.0,221.7,1285.0,21.0,3.58,0.39,12.4,17.2,6.2,Not Overvalued
